email,id_cliente,id_cliente_canonico,es_canonico
cperez@example.org,CLI04285,CLI03636,False
crodriguez@example.com,CLI03513,CLI03513,True
crodriguez@example.com,CLI00020,CLI03513,False
crodriguez@example.com,CLI01316,CLI03513,False
cromero@example.com,CLI02403,CLI02403,True
cromero@example.com,CLI04119,CLI02403,False
delfinafernandez@example.net,CLI01610,CLI01610,True
delfinafernandez@example.net,CLI01701,CLI01610,False
dgonzalez@example.com,CLI04872,CLI04872,True
dgonzalez@example.com,CLI04630,CLI04872,False
diazfelipe@example.org,CLI00702,CLI00702,True
diazfelipe@example.org,CLI04445,CLI00702,False
diazfelipe@example.org,CLI01730,CLI00702,False
diazjoaquin@example.net,CLI02876,CLI02876,True
diazjoaquin@example.net,CLI00797,CLI02876,False
diazmartina@example.net,CLI02890,CLI02890,True
diazmartina@example.net,CLI04624,CLI02890,False
dmolina@example.com,CLI03361,CLI03361,True
dmolina@example.com,CLI00333,CLI03361,False
dnunez@example.net,CLI03726,CLI03726,True
dnunez@example.net,CLI04181,CLI03726,False
dperez@example.com,CLI01358,CLI01358,True
dperez@example.com,CLI05327,CLI01358,False
dramirez@example.com,CLI02791,CLI02791,True
dramirez@example.com,CLI05165,CLI02791,False
drodriguez@example.com,CLI04890,CLI04890,True
drodriguez@example.com,CLI04910,CLI04890,False
ecastro@example.org,CLI05585,CLI05585,True
ecastro@example.org,CLI01869,CLI05585,False
echavez@example.org,CLI00483,CLI00483,True
echavez@example.org,CLI01351,CLI00483,False
efernandez@example.com,CLI01110,CLI01110,True
efernandez@example.com,CLI04374,CLI01110,False
efernandez@example.com,CLI04046,CLI01110,False
efernandez@example.net,CLI03461,CLI03461,True
efernandez@example.net,CLI02574,CLI03461,False
egonzalez@example.net,CLI01274,CLI01274,True
egonzalez@example.net,CLI01517,CLI01274,False
egonzalez@example.net,CLI02225,CLI01274,False
egonzalez@example.net,CLI02204,CLI01274,False
emartinez@example.org,CLI05647,CLI05647,True
emartinez@example.org,CLI05421,CLI05647,False
emilia26@example.net,CLI01994,CLI01994,True
emilia26@example.net,CLI05752,CLI01994,False
emiliafernandez@example.org,CLI01019,CLI01019,True
emiliafernandez@example.org,CLI00006,CLI01019,False
emiliarodriguez@example.com,CLI03989,CLI03989,True
emiliarodriguez@example.com,CLI05460,CLI03989,False
emma64@example.net,CLI02254,CLI02254,True
emma64@example.net,CLI02507,CLI02254,False
emmagonzalez@example.net,CLI01942,CLI01942,True
emmagonzalez@example.net,CLI01386,CLI01942,False
enavarro@example.org,CLI05205,CLI05205,True
enavarro@example.org,CLI05299,CLI05205,False
erodriguez@example.org,CLI00028,CLI00028,True
erodriguez@example.org,CLI03348,CLI00028,False
facundo44@example.org,CLI01434,CLI01434,True
facundo44@example.org,CLI06017,CLI01434,False
facundosuarez,CLI05450,CLI05450,True
facundosuarez,CLI06011,CLI05450,False
fdiaz@example.org,CLI04804,CLI04804,True
fdiaz@example.org,CLI06012,CLI04804,False
felipe28@example.com,CLI03145,CLI03145,True
felipe28@example.com,CLI06032,CLI03145,False
felipe55@example.net,CLI02619,CLI02619,True
felipe55@example.net,CLI05761,CLI02619,False
felipe82@example.org,CLI00049,CLI00049,True
felipe82@example.org,CLI06050,CLI00049,False
fernandezjuan-ignacio@example.org,CLI02392,CLI02392,True
fernandezjuan-ignacio@example.org,CLI06005,CLI02392,False
fgarcia@example.org,CLI02959,CLI02959,True
fgarcia@example.org,CLI05552,CLI02959,False
fgarcia@example.org,CLI01391,CLI02959,False
fgonzalez@example.net,CLI04774,CLI04774,True
fgonzalez@example.net,CLI03006,CLI04774,False
fgonzalez@example.net,CLI03236,CLI04774,False
fgonzalez@example.net,CLI02595,CLI04774,False
fgonzalez@example.org,CLI01059,CLI01059,True
fgonzalez@example.org,CLI03293,CLI01059,False
fgonzalez@example.org,CLI01251,CLI01059,False
fhernandez@example.net,CLI01060,CLI01060,True
fhernandez@example.net,CLI02040,CLI01060,False
fledesma@example.net,CLI02456,CLI02456,True
fledesma@example.net,CLI03384,CLI02456,False
francescabravo@example.net,CLI04580,CLI04580,True
francescabravo@example.net,CLI06046,CLI04580,False
francosofia@example.org,CLI05507,CLI05507,True
francosofia@example.org,CLI05452,CLI05507,False
fsanchez@example.org,CLI03264,CLI03264,True
fsanchez@example.org,CLI03923,CLI03264,False
gabrielrodriguez@example.org,CLI04021,CLI04021,True
gabrielrodriguez@example.org,CLI05538,CLI04021,False
garciabenjamin@example.org,CLI00490,CLI00490,True
garciabenjamin@example.org,CLI01944,CLI00490,False
garcialisandro@example.org,CLI01831,CLI01831,True
garcialisandro@example.org,CLI05896,CLI01831,False
garciavalentino@example.net,CLI03391,CLI03391,True
garciavalentino@example.net,CLI00363,CLI03391,False
gdiaz@example.net,CLI02381,CLI02381,True
gdiaz@example.net,CLI04129,CLI02381,False
gfernandez@example.org,CLI03689,CLI03689,True
gfernandez@example.org,CLI05884,CLI03689,False
gmartinez@example.org,CLI00140,CLI00140,True
gmartinez@example.org,CLI02758,CLI00140,False
godoyvictoria@example.net,CLI03856,CLI03856,True
godoyvictoria@example.net,CLI04671,CLI03856,False
gomezmatias@example.com,CLI02427,CLI02427,True
gomezmatias@example.com,CLI01283,CLI02427,False
gomezpilar@example.org,CLI00635,CLI00635,True
gomezpilar@example.org,CLI04149,CLI00635,False
gomezsofia@example.net,CLI05261,CLI05261,True
gomezsofia@example.net,CLI00375,CLI05261,False
gonzalezdelfina@example.com,CLI02383,CLI02383,True
gonzalezdelfina@example.com,CLI01487,CLI02383,False
gonzalezjuana@example.net,CLI02728,CLI02728,True
gonzalezjuana@example.net,CLI01521,CLI02728,False
gonzalezlucas@example.net,CLI04235,CLI04235,True
gonzalezlucas@example.net,CLI05050,CLI04235,False
gonzalezlucas@example.net,CLI05629,CLI04235,False
gonzalezrenata@example.net,CLI02206,CLI02206,True
gonzalezrenata@example.net,CLI05745,CLI02206,False
gonzalezuma@example.net,CLI03269,CLI03269,True
gonzalezuma@example.net,CLI04975,CLI03269,False
gonzalezvalentino@example.net,CLI05905,CLI05905,True
gonzalezvalentino@example.net,CLI00216,CLI05905,False
gonzalezvalentino@example.org,CLI01836,CLI01836,True
gonzalezvalentino@example.org,CLI05304,CLI01836,False
grodriguez@example.net,CLI04619,CLI04619,True
grodriguez@example.net,CLI05350,CLI04619,False
grodriguez@example.net,CLI04333,CLI04619,False
gsanchez@example.org,CLI03482,CLI03482,True
gsanchez@example.org,CLI04062,CLI03482,False
gsanchez@example.org,CLI03732,CLI03482,False
gtorres@example.com,CLI00373,CLI00373,True
gtorres@example.com,CLI05187,CLI00373,False
gtorres@example.com,CLI03284,CLI00373,False
hcastro@example.org,CLI01554,CLI01554,True
hcastro@example.org,CLI05495,CLI01554,False
hernandezfelipe@example.org,CLI02294,CLI02294,True
hernandezfelipe@example.org,CLI02154,CLI02294,False
herrerabautista@example.com,CLI04094,CLI04094,True
herrerabautista@example.com,CLI04045,CLI04094,False
hgomez@example.com,CLI00877,CLI00877,True
hgomez@example.com,CLI01897,CLI00877,False
hlopez@example.com,CLI01406,CLI01406,True
hlopez@example.com,CLI03758,CLI01406,False
hlopez@example.net,CLI01518,CLI01518,True
hlopez@example.net,CLI05674,CLI01518,False
hmartinez@example.net,CLI04240,CLI04240,True
hmartinez@example.net,CLI03920,CLI04240,False
hortiz@example.net,CLI05109,CLI05109,True
hortiz@example.net,CLI02763,CLI05109,False
icastro@example.org,CLI02578,CLI02578,True
icastro@example.org,CLI02923,CLI02578,False
igarcia@example.com,CLI00460,CLI00460,True
igarcia@example.com,CLI03808,CLI00460,False
ignaciolopez@example.net,CLI05645,CLI05645,True
ignaciolopez@example.net,CLI06021,CLI05645,False
igonzalez@example.com,CLI00986,CLI00986,True
igonzalez@example.com,CLI04515,CLI00986,False
ilopez@example.com,CLI04629,CLI04629,True
ilopez@example.com,CLI02222,CLI04629,False
ilopez@example.com,CLI03489,CLI04629,False
imartinez,CLI05778,CLI05778,True
imartinez,CLI00319,CLI05778,False
imartinez@example.org,CLI03667,CLI03667,True
imartinez@example.org,CLI02756,CLI03667,False
jazmin54@example.com,CLI04224,CLI04224,True
jazmin54@example.com,CLI06031,CLI04224,False
jazminfigueroa@example.net,CLI03929,CLI03929,True
jazminfigueroa@example.net,CLI06018,CLI03929,False
jcarrizo@example.net,CLI00835,CLI00835,True
jcarrizo@example.net,CLI04106,CLI00835,False
jgomez@example.net,CLI02272,CLI02272,True
jgomez@example.net,CLI03221,CLI02272,False
jgomez@example.net,CLI05773,CLI02272,False
jgonzalez@example.com,CLI05791,CLI05791,True
jgonzalez@example.com,CLI01876,CLI05791,False
jgutierrez@example.org,CLI01039,CLI01039,True
jgutierrez@example.org,CLI04799,CLI01039,False
jmartinez@example.net,CLI03544,CLI03544,True
jmartinez@example.net,CLI05019,CLI03544,False
jmoyano@example.com,CLI02014,CLI02014,True
jmoyano@example.com,CLI03144,CLI02014,False
joaquin18,CLI01440,CLI01440,True
joaquin18,CLI06042,CLI01440,False
joaquin44@example.net,CLI05175,CLI05175,True
joaquin44@example.net,CLI03660,CLI05175,False
joaquinfernandez@example.com,CLI04141,CLI04141,True
joaquinfernandez@example.com,CLI01036,CLI04141,False
joaquingonzalez@example.net,CLI03174,CLI03174,True
joaquingonzalez@example.net,CLI04214,CLI03174,False
joaquinperalta@example.com,CLI03150,CLI03150,True
joaquinperalta@example.com,CLI04268,CLI03150,False
joaquinromero@example.net,CLI05748,CLI05748,True
joaquinromero@example.net,CLI01427,CLI05748,False
josefinarojas@example.com,CLI01683,CLI01683,True
josefinarojas@example.com,CLI06006,CLI01683,False
jperez@example.com,CLI01597,CLI01597,True
jperez@example.com,CLI03237,CLI01597,False
jperez@example.com,CLI00829,CLI01597,False
jrivero@example.com,CLI05443,CLI05443,True
jrivero@example.com,CLI02168,CLI05443,False
jrodriguez@example.org,CLI02442,CLI02442,True
jrodriguez@example.org,CLI02385,CLI02442,False
jrodriguez@example.org,CLI04037,CLI02442,False
jromero@example.net,CLI03581,CLI03581,True
jromero@example.net,CLI02291,CLI03581,False
jsilva@example.org,CLI04503,CLI04503,True
jsilva@example.org,CLI06022,CLI04503,False
juan-bautistagonzalez@example.com,CLI00093,CLI00093,True
juan-bautistagonzalez@example.com,CLI01782,CLI00093,False
juan-ignacio88@example.com,CLI00946,CLI00946,True
juan-ignacio88@example.com,CLI06047,CLI00946,False
juan-ignacio88@example.com,CLI01240,CLI00946,False
juan-ignacio88@example.com,CLI01950,CLI00946,False
juan-ignacioramos@example.net,CLI01816,CLI01816,True
juan-ignacioramos@example.net,CLI06045,CLI01816,False
juana04@example.com,CLI03047,CLI03047,True
juana04@example.com,CLI01124,CLI03047,False
juanasanchez@example.net,CLI03499,CLI03499,True
juanasanchez@example.net,CLI02761,CLI03499,False
julieta06@example.com,CLI02380,CLI02380,True
julieta06@example.com,CLI03320,CLI02380,False
julieta62@example.com,CLI03699,CLI03699,True
julieta62@example.com,CLI06027,CLI03699,False
julieta62@example.com,CLI04435,CLI03699,False
julieta82@example.org,CLI01218,CLI01218,True
julieta82@example.org,CLI06029,CLI01218,False
julieta82@example.org,CLI04237,CLI01218,False
julietadominguez@example.com,CLI03563,CLI03563,True
julietadominguez@example.com,CLI02365,CLI03563,False
kdiaz@example.com,CLI04421,CLI04421,True
kdiaz@example.com,CLI03003,CLI04421,False
kgodoy@example.net,CLI03984,CLI03984,True
kgodoy@example.net,CLI04686,CLI03984,False
kgonzalez@example.net,CLI04434,CLI04434,True
kgonzalez@example.net,CLI03365,CLI04434,False
kgonzalez@example.net,CLI03902,CLI04434,False
kmaidana@example.com,CLI03050,CLI03050,True
kmaidana@example.com,CLI06043,CLI03050,False
lautaro-nahuel27,CLI00308,CLI00308,True
lautaro-nahuel27,CLI06035,CLI00308,False
lautaro36@example.net,CLI04724,CLI04724,True
lautaro36@example.net,CLI04547,CLI04724,False
lcabrera@example.org,CLI00941,CLI00941,True
lcabrera@example.org,CLI02814,CLI00941,False
lgomez@example.org,CLI02820,CLI02820,True
lgomez@example.org,CLI02970,CLI02820,False
lgutierrez@example.com,CLI00799,CLI00799,True
lgutierrez@example.com,CLI02790,CLI00799,False
lolasuarez@example.net,CLI05008,CLI05008,True
lolasuarez@example.net,CLI06037,CLI05008,False
lopezjoaquin@example.org,CLI03962,CLI03962,True
lopezjoaquin@example.org,CLI03342,CLI03962,False
lourdesdiaz@example.org,CLI05174,CLI05174,True
lourdesdiaz@example.org,CLI06013,CLI05174,False
lsuarez@example.net,CLI00886,CLI00886,True
lsuarez@example.net,CLI02908,CLI00886,False
luciaromero@example.com,CLI04773,CLI04773,True
luciaromero@example.com,CLI06014,CLI04773,False
maria-victoria64,CLI03436,CLI03436,True
maria-victoria64,CLI06044,CLI03436,False
martina04@example.net,CLI04178,CLI04178,True
martina04@example.net,CLI06024,CLI04178,False
martina10@example.org,CLI05675,CLI05675,True
martina10@example.org,CLI05907,CLI05675,False
martina25@example.com,CLI00897,CLI00897,True
martina25@example.com,CLI04396,CLI00897,False
martina48@example.com,CLI05378,CLI05378,True
martina48@example.com,CLI00774,CLI05378,False
martina48@example.com,CLI02405,CLI05378,False
martina83@example.org,CLI05031,CLI05031,True
martina83@example.org,CLI03737,CLI05031,False
martinagutierrez@example.net,CLI00963,CLI00963,True
martinagutierrez@example.net,CLI04887,CLI00963,False
martinarios@example.org,CLI04033,CLI04033,True
martinarios@example.org,CLI03377,CLI04033,False
martinezagostina@example.com,CLI02616,CLI02616,True
martinezagostina@example.com,CLI06033,CLI02616,False
martinezsantiago@example.org,CLI01981,CLI01981,True
martinezsantiago@example.org,CLI00873,CLI01981,False
martinezvalentina@example.org,CLI05437,CLI05437,True
martinezvalentina@example.org,CLI01366,CLI05437,False
mateo-valentinsanchez@example.net,CLI01303,CLI01303,True
mateo-valentinsanchez@example.net,CLI06008,CLI01303,False
mateo50@example.com,CLI00565,CLI00565,True
mateo50@example.com,CLI04674,CLI00565,False
mateogarcia@example.com,CLI01647,CLI01647,True
mateogarcia@example.com,CLI03766,CLI01647,False
maximogomez@example.org,CLI02500,CLI02500,True
maximogomez@example.org,CLI05797,CLI02500,False
mdiaz@example.org,CLI02944,CLI02944,True
mdiaz@example.org,CLI05268,CLI02944,False
mia83@example.com,CLI02671,CLI02671,True
mia83@example.com,CLI06030,CLI02671,False
mlopez@example.net,CLI00321,CLI00321,True
mlopez@example.net,CLI03951,CLI00321,False
molinabenjamin@example.org,CLI04705,CLI04705,True
molinabenjamin@example.org,CLI05098,CLI04705,False
mora51@example.com,CLI04414,CLI04414,True
mora51@example.com,CLI01746,CLI04414,False
moracaceres@example.org,CLI00038,CLI00038,True
moracaceres@example.org,CLI06036,CLI00038,False
mtorres@example.org,CLI03108,CLI03108,True
mtorres@example.org,CLI03354,CLI03108,False
mtorres@example.org,CLI02511,CLI03108,False
munozvalentin@example.org,CLI03058,CLI03058,True
munozvalentin@example.org,CLI05698,CLI03058,False
nfernandez@example.net,CLI05364,CLI05364,True
nfernandez@example.net,CLI02883,CLI05364,False
nfernandez@example.net,CLI01372,CLI05364,False
ngomez@example.org,CLI02303,CLI02303,True
ngomez@example.org,CLI02455,CLI02303,False
nicolas82@example.com,CLI01459,CLI01459,True
nicolas82@example.com,CLI06007,CLI01459,False
nlopez@example.com,CLI03661,CLI03661,True
nlopez@example.com,CLI04802,CLI03661,False
nlopez@example.org,CLI03086,CLI03086,True
nlopez@example.org,CLI00802,CLI03086,False
nvazquez@example.org,CLI04217,CLI04217,True
nvazquez@example.org,CLI00818,CLI04217,False
nvillalba@example.org,CLI04904,CLI04904,True
nvillalba@example.org,CLI06000,CLI04904,False
nvillalba@example.org,CLI06038,CLI04904,False
obenitez@example.com,CLI01570,CLI01570,True
obenitez@example.com,CLI04990,CLI01570,False
odiaz@example.com,CLI01752,CLI01752,True
odiaz@example.com,CLI02558,CLI01752,False
ofernandez@example.net,CLI00989,CLI00989,True
ofernandez@example.net,CLI02526,CLI00989,False
ogomez@example.net,CLI05963,CLI05963,True
ogomez@example.net,CLI01286,CLI05963,False
ogomez@example.org,CLI02618,CLI02618,True
ogomez@example.org,CLI00237,CLI02618,False
oherrera@example.net,CLI03743,CLI03743,True
oherrera@example.net,CLI02271,CLI03743,False
ojedaisabella@example.com,CLI00634,CLI00634,True
ojedaisabella@example.com,CLI06009,CLI00634,False
oliviasosa@example.com,CLI04796,CLI04796,True
oliviasosa@example.com,CLI03103,CLI04796,False
oliviavazquez@example.com,CLI04755,CLI04755,True
oliviavazquez@example.com,CLI00163,CLI04755,False
olopez@example.org,CLI05681,CLI05681,True
olopez@example.org,CLI05672,CLI05681,False
orodriguez@example.org,CLI02397,CLI02397,True
orodriguez@example.org,CLI02633,CLI02397,False
orodriguez@example.org,CLI00005,CLI02397,False
palomarodriguez@example.org,CLI03241,CLI03241,True
palomarodriguez@example.org,CLI02687,CLI03241,False
pbravo@example.com,CLI02309,CLI02309,True
pbravo@example.com,CLI00360,CLI02309,False
pescobar@example.org,CLI05531,CLI05531,True
pescobar@example.org,CLI02119,CLI05531,False
pfernandez@example.net,CLI00900,CLI00900,True
pfernandez@example.net,CLI02915,CLI00900,False
pilar52@example.org,CLI02628,CLI02628,True
pilar52@example.org,CLI06040,CLI02628,False
pnunez@example.net,CLI05810,CLI05810,True
pnunez@example.net,CLI05657,CLI05810,False
poncebenjamin@example.com,CLI03580,CLI03580,True
poncebenjamin@example.com,CLI04688,CLI03580,False
ponceignacio,CLI02708,CLI02708,True
ponceignacio,CLI06039,CLI02708,False
poncerenata@example.org,CLI05727,CLI05727,True
poncerenata@example.org,CLI04889,CLI05727,False
prodriguez@example.com,CLI05282,CLI05282,True
prodriguez@example.com,CLI00246,CLI05282,False
psanchez@example.net,CLI03140,CLI03140,True
psanchez@example.net,CLI05252,CLI03140,False
qdiaz@example.net,CLI01248,CLI01248,True
qdiaz@example.net,CLI00223,CLI01248,False
qfernandez@example.com,CLI02506,CLI02506,True
qfernandez@example.com,CLI00412,CLI02506,False
qfernandez@example.com,CLI01404,CLI02506,False
qfernandez@example.com,CLI00031,CLI02506,False
qflores@example.org,CLI00013,CLI00013,True
qflores@example.org,CLI01835,CLI00013,False
qgomez@example.com,CLI04197,CLI04197,True
qgomez@example.com,CLI01022,CLI04197,False
qgomez@example.net,CLI02210,CLI02210,True
qgomez@example.net,CLI05022,CLI02210,False
qgonzalez@example.net,CLI00160,CLI00160,True
qgonzalez@example.net,CLI01549,CLI00160,False
qgutierrez@example.org,CLI00293,CLI00293,True
qgutierrez@example.org,CLI03386,CLI00293,False
qmedina@example.org,CLI04369,CLI04369,True
qmedina@example.org,CLI00351,CLI04369,False
qmendez@example.net,CLI05071,CLI05071,True
qmendez@example.net,CLI01058,CLI05071,False
qmendez@example.net,CLI03401,CLI05071,False
ramireztiziano@example.com,CLI00688,CLI00688,True
ramireztiziano@example.com,CLI06010,CLI00688,False
ramirezvalentino@example.com,CLI04012,CLI04012,True
ramirezvalentino@example.com,CLI01389,CLI04012,False
rdiaz@example.com,CLI05872,CLI05872,True
rdiaz@example.com,CLI04166,CLI05872,False
renata82@example.net,CLI05481,CLI05481,True
renata82@example.net,CLI04352,CLI05481,False
renata89@example.org,CLI01496,CLI01496,True
renata89@example.org,CLI06015,CLI01496,False
rferreyra@example.com,CLI05914,CLI05914,True
rferreyra@example.com,CLI01127,CLI05914,False
rgonzalez@example.com,CLI03245,CLI03245,True
rgonzalez@example.com,CLI05824,CLI03245,False
rgonzalez@example.net,CLI04992,CLI04992,True
rgonzalez@example.net,CLI05489,CLI04992,False
rjuarez@example.com,CLI01851,CLI01851,True
rjuarez@example.com,CLI05909,CLI01851,False
rodriguezcatalina@example.net,CLI02314,CLI02314,True
rodriguezcatalina@example.net,CLI04109,CLI02314,False
romerojosefina@example.com,CLI00331,CLI00331,True
romerojosefina@example.com,CLI01505,CLI00331,False
rrodriguez@example.org,CLI00951,CLI00951,True
rrodriguez@example.org,CLI05992,CLI00951,False
rromero@example.org,CLI01439,CLI01439,True
rromero@example.org,CLI02185,CLI01439,False
sacosta@example.com,CLI03153,CLI03153,True
sacosta@example.com,CLI02983,CLI03153,False
samuelgonzalez@example.net,CLI00582,CLI00582,True
samuelgonzalez@example.net,CLI00047,CLI00582,False
sanchezbautista@example.net,CLI02055,CLI02055,True
sanchezbautista@example.net,CLI03272,CLI02055,False
santinodiaz@example.org,CLI03777,CLI03777,True
santinodiaz@example.org,CLI02647,CLI03777,False
santinogodoy@example.org,CLI00938,CLI00938,True
santinogodoy@example.org,CLI00272,CLI00938,False
santinolopez@example.org,CLI00338,CLI00338,True
santinolopez@example.org,CLI01032,CLI00338,False
santinonunez@example.com,CLI01413,CLI01413,True
santinonunez@example.com,CLI03246,CLI01413,False
sdiaz@example.com,CLI03600,CLI03600,True
sdiaz@example.com,CLI02636,CLI03600,False
sdiaz@example.com,CLI01712,CLI03600,False
sgarcia@example.com,CLI01153,CLI01153,True
sgarcia@example.com,CLI04735,CLI01153,False
sgonzalez@example.net,CLI01935,CLI01935,True
sgonzalez@example.net,CLI03532,CLI01935,False
slopez@example.com,CLI00486,CLI00486,True
slopez@example.com,CLI00489,CLI00486,False
sofia82@example.net,CLI04538,CLI04538,True
sofia82@example.net,CLI02722,CLI04538,False
sofiagimenez,CLI01793,CLI01793,True
sofiagimenez,CLI01375,CLI01793,False
sofiasilva@example.net,CLI01140,CLI01140,True
sofiasilva@example.net,CLI06048,CLI01140,False
sosajuan-cruz@example.org,CLI05708,CLI05708,True
sosajuan-cruz@example.org,CLI00277,CLI05708,False
srodriguez@example.com,CLI01763,CLI01763,True
srodriguez@example.com,CLI04342,CLI01763,False
sruiz@example.net,CLI03323,CLI03323,True
sruiz@example.net,CLI03991,CLI03323,False
tferreyra@example.net,CLI03551,CLI03551,True
tferreyra@example.net,CLI00686,CLI03551,False
tobias44@example.net,CLI02189,CLI02189,True
tobias44@example.net,CLI00230,CLI02189,False
tomas21@example.com,CLI05203,CLI05203,True
tomas21@example.com,CLI01457,CLI05203,False
tomas24@example.com,CLI01420,CLI01420,True
tomas24@example.com,CLI00081,CLI01420,False
tomasgomez@example.net,CLI03740,CLI03740,True
tomasgomez@example.net,CLI04486,CLI03740,False
tomasgonzalez@example.com,CLI04675,CLI04675,True
tomasgonzalez@example.com,CLI04338,CLI04675,False
tomasjuarez@example.net,CLI02520,CLI02520,True
tomasjuarez@example.net,CLI03697,CLI02520,False
torresbenicio@example.org,CLI02528,CLI02528,True
torresbenicio@example.org,CLI05502,CLI02528,False
torresdylan-benjamin@example.net,CLI01157,CLI01157,True
torresdylan-benjamin@example.net,CLI05568,CLI01157,False
torresmorena@example.com,CLI02068,CLI02068,True
torresmorena@example.com,CLI05070,CLI02068,False
torresmorena@example.com,CLI06028,CLI02068,False
tperez@example.org,CLI02177,CLI02177,True
tperez@example.org,CLI01626,CLI02177,False
ubravo@example.com,CLI04419,CLI04419,True
ubravo@example.com,CLI04234,CLI04419,False
ugarcia@example.net,CLI04406,CLI04406,True
ugarcia@example.net,CLI00147,CLI04406,False
ugonzalez@example.net,CLI05348,CLI05348,True
ugonzalez@example.net,CLI04191,CLI05348,False
ulopez@example.com,CLI02124,CLI02124,True
ulopez@example.com,CLI01599,CLI02124,False
ulopez@example.org,CLI02326,CLI02326,True
ulopez@example.org,CLI04321,CLI02326,False
urojas@example.org,CLI03514,CLI03514,True
urojas@example.org,CLI06026,CLI03514,False
urojas@example.org,CLI03132,CLI03514,False
valentin29@example.net,CLI02439,CLI02439,True
valentin29@example.net,CLI00718,CLI02439,False
valentina47@example.com,CLI04157,CLI04157,True
valentina47@example.com,CLI03584,CLI04157,False
valentino03@example.com,CLI01802,CLI01802,True
valentino03@example.com,CLI00942,CLI01802,False
