id_cliente,fecha_alta,canal_alta,tienda_alta,genero,edad,provincia,acepta_marketing,email
CLI00057,2022-06-25,Online,,F,21.0,Neuquen,True,romeromaximo@example.net
CLI00058,2023-12-06,Tienda,T12,,49.0,Entre Rios,True,cruzisabella
CLI00059,2022-10-07,Tienda,S06,F,40.0,Entre Rios,True,ramosbianca@example.net
CLI00060,2022-02-10,Tienda,S27,F,58.0,Mendoza,True,acostatomas@example.net
CLI00061,2024-06-03,Sucursal,T28,M,36.0,CABA,False,helenaacosta@example.net
CLI00062,2025-03-24,Tienda,T20,M,18.0,Entre Rios,True,constanzalucero@example.com
CLI00063,2025-09-09,Tienda,T17,M,40.0,Mendoza,False,giulianafernandez@example.org
CLI00064,2023-07-27,Online,,M,65.0,Mendoza,True,bautista36@example.org
CLI00065,2022-11-07,Tienda,T15,M,36.0,Cordoba,True,martin25
CLI00066,2022-07-28,Online,,M,29.0,Entre Rios,True,nahiaradiaz@example.org
CLI00067,2023-08-05,Tienda,T09,F,25.0,Cordoba,False,qlopez@example.org
CLI00068,2022-08-24,Tienda,T16,F,27.0,Cordoba,True,ztoledo@example.com
CLI00069,2023-09-08,Online,,F,37.0,Mendoza,True,juan-cruz50@example.com
CLI00070,2024-03-19,Tienda,T07,M,25.0,Entre Rios,True,yquiroga@example.com
CLI00071,2024-01-26,Sucursal,T18,F,62.0,Salta,True,agustina11@example.org
CLI00072,2025-11-19,Sucursal,T15,,38.0,Cordoba,True,rodriguezvictoria@example.org
CLI00073,2023-01-30,Tienda,T12,F,43.0,Entre Rios,True,tobiasroldan@example.net
CLI00074,2025-04-10,Tienda,T16,F,62.0,Salta,True,lola88@example.net
CLI00075,2023-12-24,Tienda,T13,F,63.0,Mendoza,True,catalina02@example.com
CLI00076,2025-07-31,Online,,F,132.0,Neuquen,True,maria-luz14@example.org
CLI00077,2024-06-06,Online,,F,,Neuquen,False,bautistaguzman@example.com
CLI00078,2022-01-17,Online,,M,52.0,Neuquen,True,rblanco@example.net
CLI00079,2022-07-08,Online,,F,39.0,CABA,False,maria-luzmartin@example.com
CLI00080,2022-03-15,Online,,F,18.0,Salta,True,paulamorales@example.net
CLI00081,2025-01-13,Tienda,T18,F,51.0,Tucuman,True,tomas24@example.com
CLI00082,2025-03-19,Online,,F,54.0,Salta,True,martina08@example.net
CLI00083,2025-11-28,Tienda,T07,M,47.0,Entre Rios,True,cmartinez@example.org
CLI00084,2024-08-19,Tienda,T05,M,29.0,Santa Fe,True,iferreyra@example.com
CLI00085,2025-11-17,Tienda,T19,F,39.0,CABA,True,luciano35@example.org
CLI00086,2025-04-30,Tienda,T25,F,33.0,Tucuman,True,lolasosa@example.org
CLI00087,2025-05-07,Online,,F,37.0,Cordoba,True,rodriguezthiago-nicolas@example.com
CLI00088,2023-09-21,Tienda,T27,M,60.0,Mendoza,True,rodriguezmaite@example.net
CLI00089,2024-09-05,Sucursal,T16,F,63.0,Entre Rios,False,matias40@example.com
CLI00090,2022-09-28,Tienda,T05,,,Salta,True,tomas45@example.com
CLI00091,2025-11-21,Tienda,T19,M,49.0,Neuquen,False,emma43@example.com
CLI00092,2022-09-25,Tienda,S25,F,51.0,Cordoba,True,olivia74@example.net
CLI00093,2024-08-15,Tienda,T10,,41.0,Tucuman,True,juan-bautistagonzalez@example.com
CLI00094,2025-04-07,Tienda,T08,F,40.0,Neuquen,True,camilagonzalez@example.org
CLI00095,2023-03-14,Online,,F,,CABA,False,catalinacampos@example.org
CLI00096,2024-08-18,Tienda,T14,F,41.0,Mendoza,False,ucoronel@example.com
CLI00097,2022-08-07,Tienda,T07,M,73.0,Cordoba,True,martinamiranda@example.net
CLI00098,2024-07-04,Online,,M,54.0,Salta,True,nahuelnavarro@example.net
CLI00099,2025-05-04,Tienda,T13,F,37.0,Santa Fe,True,riveromaria-victoria@example.net
CLI00100,2024-09-24,Tienda,T23,M,35.0,Buenos Aires,False,catalinagonzalez@example.net
CLI00101,2023-06-11,Online,,M,29.0,CABA,False,alvarezfacundo@example.org
CLI00102,2024-07-05,Tienda,T03,F,47.0,Buenos Aires,True,morenagonzalez@example.org
CLI00103,2024-12-28,Online,,F,47.0,Buenos Aires,True,dominguezbautista@example.net
CLI00104,2023-11-23,Online,,F,21.0,Salta,True,fariasfrancisco@example.org
CLI00105,2022-12-03,Online,,F,48.0,Buenos Aires,False,yaguirre@example.org
CLI00106,2023-12-01,Tienda,T20,F,34.0,Mendoza,True,camilo93@example.org
CLI00107,2024-05-25,Tienda,T01,M,61.0,Buenos Aires,True,valentina49@example.net
CLI00108,2022-07-14,Sucursal,T25,F,,Salta,True,rrodriguez@example.net
CLI00109,2022-05-26,Online,,F,66.0,Santa Fe,True,amparogarcia@example.net
CLI00110,2023-02-21,Tienda,T26,M,,CABA,False,hmedina@example.net
CLI00111,2022-10-18,Tienda,T18,F,37.0,Buenos Aires,False,maidanabenjamin@example.com
CLI00112,2022-04-22,Tienda,T16,,46.0,Santa Fe,True,ytoledo@example.org
CLI00113,2025-08-31,Online,,M,56.0,Buenos Aires,False,bautistagomez@example.net
CLI00114,2024-02-05,Tienda,T09,M,49.0,Cordoba,True,valentino84@example.org
CLI00115,2024-10-23,Online,,F,24.0,Neuquen,False,guillerminahernandez@example.com
CLI00116,2022-02-06,Online,,M,44.0,Buenos Aires,True,duartethiago-ezequiel@example.com
CLI00117,2023-03-17,Tienda,T12,F,42.0,Buenos Aires,True,cirotorres@example.org
CLI00118,2025-05-11,Tienda,T03,F,35.0,Salta,True,romeroalma@example.com
CLI00119,2022-06-25,Tienda,T21,M,32.0,Tucuman,True,luz-milagrosmendoza
CLI00120,2023-02-28,Tienda,T24,M,66.0,Mendoza,False,bautista69@example.org
CLI00121,2023-06-11,Online,,F,36.0,Salta,True,dnavarro@example.com
CLI00122,2022-05-29,Tienda,T18,M,30.0,CABA,True,juan-manuel23@example.com
CLI00123,2023-09-29,Tienda,T02,F,50.0,Tucuman,True,santiago56
CLI00124,2025-07-15,Online,,M,43.0,CABA,True,javila
CLI00125,2024-03-12,Tienda,T27,F,,Tucuman,True,rodriguezmaria-paz@example.com
CLI00126,2024-06-16,Online,,M,52.0,Buenos Aires,True,mia-valentinagarcia@example.org
CLI00127,2025-08-24,Tienda,T12,F,48.0,Buenos Aires,True,joaquinramirez@example.com
CLI00128,2023-03-11,Sucursal,T07,F,,Mendoza,False,lola34@example.com
CLI00129,2024-03-24,Online,,F,55.0,Santa Fe,True,pgomez@example.org
CLI00130,2022-04-20,Online,,F,45.0,Cordoba,True,cmolina@example.com
CLI00131,2025-12-25,Tienda,T05,F,33.0,Cordoba,True,jflores@example.org
CLI00132,2022-12-23,Tienda,T27,F,36.0,Neuquen,True,almagomez@example.org
CLI00133,2023-06-22,Tienda,T12,F,34.0,Mendoza,True,angelinacardozo@example.com
CLI00134,2023-07-13,Tienda,T20,M,,Santa Fe,False,thiagoromero@example.org
CLI00135,2023-12-29,Tienda,T12,F,26.0,Entre Rios,True,juan-ignacio88
CLI00136,2024-07-08,Online,,F,18.0,Buenos Aires,True,catalinaescobar@example.com
CLI00137,2023-08-07,Sucursal,T05,F,43.0,Buenos Aires,True,tbenitez@example.org
CLI00138,2022-07-05,Sucursal,T26,M,23.0,Buenos Aires,False,zvega@example.com
CLI00139,2025-11-14,Tienda,T20,F,18.0,Santa Fe,True,zgonzalez@example.net
CLI00140,2025-06-02,Online,,M,47.0,Tucuman,True,gmartinez@example.org
CLI00141,2022-08-14,Online,,M,32.0,Santa Fe,False,acunajoaquin@example.net
CLI00142,2025-05-20,Tienda,T28,F,48.0,Entre Rios,True,xrodriguez@example.org
CLI00143,2022-01-02,Tienda,T18,F,34.0,Neuquen,True,franciscoayala@example.net
CLI00144,2024-11-09,Tienda,T03,F,26.0,Mendoza,True,luciapereyra@example.com
CLI00145,2024-10-16,Sucursal,T28,M,24.0,Tucuman,False,gomezjulieta@example.net
CLI00146,2022-10-07,Tienda,T21,M,,Santa Fe,True,delfina90@example.org
CLI00147,2024-02-24,Tienda,T19,F,38.0,Tucuman,True,ugarcia@example.net
CLI00148,2025-05-10,Tienda,T12,M,30.0,Santa Fe,True,agustinmartinez@example.org
CLI00149,2022-02-12,Tienda,T03,M,,CABA,False,tvega@example.org
CLI00150,2022-02-01,Online,,M,20.0,Salta,True,pcruz@example.com
CLI00151,2022-04-29,Tienda,S01,M,42.0,Cordoba,True,valentina-blanco@example.org
CLI00152,2023-12-21,Online,,M,18.0,CABA,True,lucio56@example.org
CLI00153,2022-01-10,Online,,M,39.0,Neuquen,True,tiziano-benjamin81@example.org
CLI00154,2023-12-25,Online,,M,51.0,CABA,False,josefinamaldonado@example.org
CLI00155,2023-11-11,Online,,F,57.0,Buenos Aires,True,alejo41@example.net
CLI00156,2023-12-25,Online,,X,66.0,Neuquen,False,kiarasuarez@example.net
CLI00157,2022-03-24,Tienda,T26,,20.0,Cordoba,True,mateo-valentinrodriguez@example.org
CLI00158,2025-11-23,Online,,M,52.0,Santa Fe,False,renatavega@example.org
CLI00159,2023-07-29,Tienda,T08,F,58.0,Entre Rios,True,maria-paz12@example.com
CLI00160,2022-10-06,Online,,F,55.0,Neuquen,False,qgonzalez@example.net
CLI00161,2023-07-07,Online,,F,28.0,Buenos Aires,True,lucas-ezequiel72@example.org
CLI00162,2022-01-05,Tienda,S01,F,,Mendoza,True,catalina61@example.net
CLI00163,2025-11-08,Online,,F,68.0,Entre Rios,False,oliviavazquez@example.com
CLI00164,2025-04-15,Online,,X,21.0,Cordoba,True,trodriguez
CLI00165,2023-11-23,Online,,M,48.0,Neuquen,True,juan-pablo73@example.com
CLI00166,2023-06-16,Online,,F,57.0,Neuquen,True,agonzalez@example.org
CLI00167,2025-03-31,Online,,F,32.0,Entre Rios,True,cgonzalez@example.com
CLI00168,2022-04-02,Online,,F,50.0,Buenos Aires,True,perezthiago-valentin@example.net
CLI00169,2023-05-11,Tienda,T28,M,27.0,Neuquen,True,ignacio90
CLI00170,2023-01-18,Online,,,-3.0,Buenos Aires,True,carmela40@example.net
CLI00171,2025-01-08,Tienda,T12,,30.0,Santa Fe,True,gonzalezfrancisco@example.com
CLI00172,2024-11-10,Tienda,T04,X,44.0,Salta,False,ymoyano@example.com
CLI00173,2025-08-26,Online,,F,40.0,CABA,False,ffernandez@example.org
CLI00174,2022-01-13,Online,,F,55.0,CABA,False,gael29@example.org
CLI00175,2023-04-24,Online,,F,28.0,Entre Rios,True,malena91@example.net
CLI00176,2022-10-16,Tienda,T19,F,40.0,Entre Rios,False,emmarodriguez@example.org
CLI00177,2023-12-05,Online,,M,55.0,Salta,True,mateo61@example.org
CLI00178,2023-01-22,Tienda,T25,M,49.0,Santa Fe,False,diazciro@example.net
CLI00179,2025-11-20,Online,,F,23.0,Cordoba,True,franciscoramirez@example.net
CLI00180,2025-07-25,Tienda,T22,F,51.0,Santa Fe,False,lautaro-ezequielfarias@example.net
CLI00181,2025-01-13,Tienda,T21,M,35.0,CABA,True,juana94
CLI00182,2023-06-29,Tienda,T08,M,47.0,Salta,True,sofia32@example.org
CLI00183,2022-12-10,Tienda,T08,F,46.0,CABA,False,antonio93@example.com
CLI00184,2022-04-05,Online,,M,59.0,Cordoba,True,samuel88@example.org
CLI00185,2024-08-06,Tienda,T21,M,43.0,Cordoba,False,ferreyradylan-ezequiel@example.org
CLI00186,2022-01-07,Tienda,T14,F,18.0,Entre Rios,True,maiteavila@example.org
CLI00187,2025-07-04,Online,,M,22.0,Salta,False,juan-ignaciolopez@example.net
CLI00188,2022-10-11,Tienda,T23,X,52.0,Buenos Aires,False,torresmateo-ezequiel@example.com
CLI00189,2024-05-30,Tienda,T01,M,38.0,Entre Rios,True,gomezmatias@example.net
CLI00190,2023-05-26,Sucursal,T06,F,57.0,Buenos Aires,False,torresvalentino@example.org
CLI00191,2025-12-30,Tienda,T13,F,-3.0,CABA,True,juarezjeremias@example.org
CLI00192,2025-04-04,Tienda,T10,M,31.0,Entre Rios,False,renata52@example.net
CLI00193,2023-04-01,Tienda,T06,F,57.0,Cordoba,True,martinaaguirre@example.com
CLI00194,2022-04-03,Sucursal,T12,M,30.0,CABA,True,ariasvicente@example.org
CLI00195,2024-07-22,Tienda,T27,M,18.0,Cordoba,True,ferreyracamila@example.com
CLI00196,2023-08-22,Tienda,T06,M,70.0,Neuquen,True,valentina-60@example.com
CLI00197,2024-12-24,Tienda,T20,M,18.0,Tucuman,True,renata05@example.net
CLI00198,2022-10-15,Tienda,T19,M,,Tucuman,True,adiaz
CLI00199,2023-09-26,Sucursal,T21,F,55.0,Santa Fe,False,pedromaldonado@example.com
CLI00200,2024-04-23,Online,,F,44.0,Entre Rios,True,malena22@example.org
CLI00201,2022-03-17,Online,,M,18.0,Neuquen,True,santino-benjaminbustos@example.org
CLI00202,2024-04-16,Online,,F,56.0,Entre Rios,True,tiziano-benjamin22@example.com
CLI00203,2023-02-18,Tienda,T18,F,21.0,Santa Fe,False,gabrielgomez@example.com
CLI00204,2025-01-05,Online,,M,23.0,Tucuman,True,julietamiranda@example.org
CLI00205,2025-11-25,Online,,F,36.0,Buenos Aires,True,msanchez@example.net
CLI00206,2023-07-21,Tienda,T02,M,53.0,Tucuman,False,santino-benjaminmendez@example.net
CLI00207,2023-08-14,Online,,F,46.0,CABA,True,milenalopez@example.org
CLI00208,2022-03-02,Tienda,T16,M,53.0,Neuquen,True,oliviagomez@example.org
CLI00209,2025-11-18,Online,,F,35.0,CABA,True,martinaortiz@example.net
CLI00210,2022-02-25,Tienda,T07,M,39.0,Tucuman,False,juan-ignacio97@example.net
CLI00211,2025-05-24,Tienda,T02,F,26.0,CABA,True,lara49
CLI00212,2022-12-30,Tienda,T07,M,37.0,Mendoza,False,cdominguez@example.net
CLI00213,2023-10-02,Online,,M,50.0,Buenos Aires,True,gonzalezlucas-ezequiel@example.com
CLI00214,2022-12-10,Online,,F,37.0,Mendoza,True,zmiranda@example.com
CLI00215,2023-08-08,Tienda,T28,M,48.0,Entre Rios,False,fernandezlorenzo@example.org
CLI00216,2025-03-17,Tienda,T01,F,33.0,Mendoza,True,gonzalezvalentino@example.net
CLI00217,2023-04-04,Online,,F,33.0,CABA,True,rodriguezjuan-bautista
CLI00218,2023-07-06,Online,,X,42.0,Salta,False,benjaminrodriguez@example.net
CLI00219,2024-12-04,Tienda,T05,M,39.0,Mendoza,True,lopezlautaro-gabriel@example.com
CLI00220,2023-02-25,Tienda,T28,F,50.0,Neuquen,False,ramiromunoz@example.org
CLI00221,2022-04-06,Tienda,T02,M,44.0,Santa Fe,False,tomas42@example.com
CLI00222,2025-08-01,Online,,M,,Neuquen,False,florencia72@example.com
CLI00223,2024-01-04,Tienda,T21,M,38.0,CABA,True,qdiaz@example.net
CLI00224,2024-01-09,Online,,M,38.0,Tucuman,False,thiago32@example.com
CLI00225,2022-08-24,Tienda,S26,,27.0,CABA,True,agostina62@example.com
CLI00226,2022-06-18,Tienda,T25,F,,Tucuman,False,godoybenicio@example.com
CLI00227,2024-03-21,Tienda,T27,F,51.0,Cordoba,True,martinezmateo-benjamin@example.com
CLI00228,2024-12-13,Online,,M,31.0,Mendoza,True,thiago-benjamin59@example.org
CLI00229,2023-06-10,Online,,M,41.0,Neuquen,False,benitezjoaquin@example.net
CLI00230,2025-10-30,Online,,F,52.0,Entre Rios,True,tobias44@example.net
CLI00231,2025-11-11,Tienda,T18,M,40.0,Cordoba,True,maria-paz03@example.org
CLI00232,2023-03-01,Online,,X,34.0,Mendoza,False,xramirez@example.org
CLI00233,2022-07-12,Online,,M,55.0,Entre Rios,False,tomasgonzalez@example.org
CLI00234,2022-01-04,Tienda,T19,F,43.0,Neuquen,True,julieta85@example.net
CLI00235,2022-11-24,Tienda,T05,X,47.0,Buenos Aires,True,salvador35@example.net
CLI00236,2025-04-24,Tienda,T01,F,58.0,Mendoza,True,valentinomaidana@example.org
CLI00237,2024-10-29,Online,,M,58.0,Neuquen,True,ogomez@example.org
CLI00238,2025-06-26,Online,,,37.0,Mendoza,True,lola40@example.org
CLI00239,2024-07-30,Tienda,T02,M,34.0,Salta,True,mia97@example.net
CLI00240,2025-09-30,Online,,M,45.0,Buenos Aires,True,amartinez@example.org
CLI00241,2022-03-31,Sucursal,T22,F,40.0,Tucuman,False,ramirezemma@example.org
CLI00242,2025-08-24,Tienda,T09,X,,Entre Rios,False,gonzaleznicolas@example.org
CLI00243,2022-07-27,Online,,M,59.0,Salta,True,maximomoreno@example.net
CLI00244,2024-07-25,Online,,M,42.0,Salta,False,biancarodriguez@example.net
CLI00245,2022-03-12,Tienda,T04,F,52.0,Santa Fe,False,avera@example.com
CLI00246,2025-05-17,Online,,M,25.0,Cordoba,True,prodriguez@example.com
CLI00247,2022-09-14,Online,,M,60.0,CABA,False,perezmia-valentina@example.org
CLI00248,2023-05-05,Tienda,T27,F,,Tucuman,True,luz-milagros48@example.net
CLI00249,2023-09-29,Online,,M,40.0,Santa Fe,True,juana31@example.net
CLI00250,2022-01-23,Tienda,T27,M,22.0,Buenos Aires,True,florencia32@example.net
CLI00251,2025-08-28,Sucursal,T02,M,39.0,Cordoba,True,emilianoromero@example.org
CLI00252,2023-07-08,Online,,,38.0,Neuquen,False,hherrera@example.net
CLI00253,2022-01-10,Tienda,S06,M,39.0,Mendoza,True,benitezlisandro@example.net
CLI00254,2025-07-15,Tienda,T26,M,48.0,Santa Fe,True,francescanunez
CLI00255,2024-04-05,Tienda,T06,F,,Cordoba,False,felipegonzalez@example.org
CLI00256,2024-06-27,Tienda,T20,M,55.0,Santa Fe,True,lautarofernandez@example.org
CLI00257,2022-02-15,Online,,M,35.0,Buenos Aires,True,helenagodoy@example.net
CLI00258,2022-04-10,Online,,M,28.0,Neuquen,False,rodriguezsalvador@example.com
CLI00259,2022-10-18,Tienda,T25,M,,Santa Fe,True,lucerozoe@example.net
CLI00260,2025-10-10,Online,,M,50.0,Tucuman,True,martinezsofia@example.org
CLI00261,2022-02-20,Tienda,T23,M,59.0,CABA,True,pazagustin@example.com
CLI00262,2023-11-28,Tienda,T24,M,53.0,Entre Rios,False,santinonavarro@example.org
CLI00263,2023-03-06,Tienda,T20,F,,Neuquen,True,pedro05@example.com
CLI00264,2025-09-19,Online,,M,47.0,Salta,True,veraguadalupe@example.com
CLI00265,2025-01-28,Online,,M,62.0,Buenos Aires,True,nroldan@example.net
CLI00266,2022-02-15,Tienda,T04,F,42.0,Cordoba,True,hgonzalez@example.org
CLI00267,2023-05-22,Tienda,T27,F,,CABA,True,rojasdelfina@example.org
CLI00268,2024-04-18,Sucursal,T02,M,46.0,Cordoba,False,joaquin08@example.org
CLI00269,2023-02-25,Online,,,34.0,CABA,False,gonzalezmorena@example.com
CLI00270,2024-10-12,Sucursal,T12,F,,Mendoza,True,nahiaraluna@example.net
CLI00271,2023-01-16,Tienda,T17,M,41.0,CABA,False,emiliadiaz@example.net
CLI00272,2022-12-05,Online,,M,61.0,Mendoza,True,santinogodoy@example.org
CLI00273,2023-12-17,Online,,F,48.0,Mendoza,True,moralesbenicio@example.com
CLI00274,2025-09-17,Tienda,T02,F,31.0,Santa Fe,True,floresmia-valentina@example.com
CLI00275,2022-10-28,Tienda,S09,M,50.0,Salta,True,pedro88@example.org
CLI00276,2023-07-08,Tienda,T10,F,55.0,Entre Rios,True,juan-davidfernandez@example.net
CLI00277,2025-01-06,Tienda,T13,F,34.0,Salta,False,sosajuan-cruz@example.org
CLI00278,2025-06-21,Online,,F,36.0,Cordoba,True,vdominguez@example.com
CLI00279,2022-09-05,Tienda,T12,,18.0,Tucuman,True,qledesma@example.net
CLI00280,2022-12-04,Tienda,S25,M,54.0,Tucuman,True,malena38@example.org
CLI00281,2023-01-26,Tienda,T24,M,33.0,Santa Fe,True,lisandrobravo@example.net
CLI00282,2023-04-22,Tienda,T20,M,18.0,Entre Rios,True,mateo53@example.com
CLI00283,2025-11-24,Sucursal,T09,M,18.0,Santa Fe,True,lopezmilagros@example.org
CLI00284,2023-07-15,Tienda,T04,M,38.0,Santa Fe,True,geronimoponce@example.com
CLI00285,2023-02-04,Online,,F,52.0,Salta,True,godoysantino@example.org
CLI00286,2025-07-16,Tienda,T20,F,40.0,Salta,True,zgonzalez@example.com
CLI00287,2024-10-09,Online,,F,48.0,Cordoba,True,malena24@example.net
CLI00288,2024-12-13,Online,,M,26.0,Cordoba,False,villalbaluz-maria@example.com
CLI00289,2024-10-20,Tienda,T09,M,23.0,Entre Rios,False,qfarias@example.net
CLI00290,2024-08-10,Tienda,T17,M,54.0,Salta,True,agostinamoreno@example.com
CLI00291,2023-09-24,Online,,M,48.0,Buenos Aires,True,lucia16@example.org
CLI00292,2025-02-16,Online,,F,41.0,CABA,True,valentinaflores@example.com
CLI00293,2022-01-29,Sucursal,T11,M,59.0,Tucuman,True,qgutierrez@example.org
CLI00294,2025-07-29,Tienda,T04,M,28.0,Tucuman,False,santiago-benjamin67@example.org
CLI00295,2022-02-25,Tienda,T06,M,36.0,Cordoba,True,mateovargas@example.org
CLI00296,2024-01-29,Tienda,T19,,,Mendoza,True,fariasfacundo
CLI00297,2022-10-27,Online,,M,67.0,CABA,False,ogutierrez@example.com
CLI00298,2024-02-01,Tienda,T16,M,42.0,Entre Rios,True,dvillalba@example.org
CLI00299,2025-12-16,Online,,F,65.0,Entre Rios,True,francescacoronel@example.org
CLI00300,2024-11-30,Tienda,T27,M,33.0,Mendoza,True,luca44@example.com
CLI00301,2023-08-07,Tienda,T08,F,46.0,Neuquen,True,rodriguezsantino-gabriel@example.net
CLI00302,2024-10-16,Tienda,T07,F,39.0,Mendoza,True,clara13@example.com
CLI00303,2024-12-18,Tienda,T02,M,19.0,Mendoza,True,priscilasoto@example.com
CLI00304,2022-11-06,Tienda,T28,F,45.0,Salta,False,alexanderrodriguez@example.net
CLI00305,2022-10-10,Online,,M,55.0,CABA,False,zoe-valentinafernandez@example.net
CLI00306,2024-07-21,Tienda,T06,F,39.0,Mendoza,False,sherrera@example.net
CLI00307,2024-08-06,Tienda,T18,M,41.0,Buenos Aires,False,ososa@example.com
CLI00308,2024-10-25,Online,,F,61.0,Tucuman,True,lautaro-nahuel27
CLI00309,2022-01-04,Tienda,T05,F,24.0,Entre Rios,False,benicio45@example.com
CLI00310,2023-12-09,Online,,M,21.0,Tucuman,True,dominguezguadalupe@example.com
CLI00311,2025-06-01,Online,,F,32.0,Cordoba,True,rodrigueztiziano@example.com
CLI00312,2025-02-18,Online,,F,25.0,Tucuman,True,juliaromero@example.net
CLI00313,2022-01-22,Tienda,S25,M,,Neuquen,False,diazbautista@example.com
CLI00314,2023-01-01,Online,,F,5.0,Santa Fe,False,silvaian@example.org
CLI00315,2025-02-07,Online,,F,29.0,Entre Rios,False,martin36@example.net
